id,text,route_airports,q_line,fir,q_code,traffic,purpose,scope,lower_limit,upper_limit,coords_radius,a_field,b_field,c_field,d_field,e_field,category,severity
KJFK-06-359,"06/359 NOTAMR 
Q) KZNY/QMNHW/IV/BO/A/000/999/4038N07346W005 
A) KJFK 
B) 2506180334 
C) 2609052300 

E) TERMINAL 1 RAMP WIP CONST LGTD AND BARRICADED",KJFK,KZNY/QMNHW/IV/BO/A/000/999/4038N07346W005,KZNY,QMNHW,IV,BO,A,0.0,999.0,4038N07346W005,KJFK,2506180334,2609052300,,TERMINAL 1 RAMP WIP CONST LGTD AND BARRICADED,other,advisory
KJFK-5-2951,"Q) KZNY/QPIXX/I/NBO/A/000/999/4038N07346W005
A) KJFK
B) 2411251745
C) 2611251742EST
E) JFK JOHN F KENNEDY INTL, NEW YORK, NY.
ILS OR LOC RWY 22R, AMDT 4...
S-LOC 22R MDA 580/HAT 567 ALL CATS. VISIBILITY CAT C/D 1 5/8. PERMANENT BUILDING 266FT MSL 4.7NM NORTH OF RWY 22R (2024-AEA-9867-OE).",KJFK,KZNY/QPIXX/I/NBO/A/000/999/4038N07346W005,KZNY,QPIXX,I,NBO,A,0.0,999.0,4038N07346W005,KJFK,2411251745,2611251742EST,,"JFK JOHN F KENNEDY INTL, NEW YORK, NY.
ILS OR LOC RWY 22R, AMDT 4...
S-LOC 22R MDA 580/HAT 567 ALL CATS. VISIBILITY CAT C/D 1 5/8. PERMANENT BUILDING 266FT MSL 4.7NM NORTH OF RWY 22R (2024-AEA-9867-OE).",navaid,advisory
KJFK-5-2362,"Q) KZNY/QPIXX/I/NBO/A/000/999/4038N07346W005
A) KJFK
B) 2509292049
C) 2712262048EST
E) JFK JOHN F KENNEDY INTL, NEW YORK, NY.
ILS OR LOC RWY 22L, AMDT 26...
ILS OR LOC RWY 22R, AMDT 4...
ILS OR LOC RWY 31L, AMDT 11B...
ILS OR LOC RWY 31R, AMDT 16B...
ILS OR LOC RWY 4R, AMDT 30B...
RNAV (GPS) RWY 22R, AMDT 1G...
RNAV (GPS) X RWY 22L, ORIG-A...
RNAV (GPS) Y RWY 22L, AMDT 1F...
RNAV (GPS) Y RWY 4L, AMDT 3B...
RNAV (GPS) Y RWY 4R, AMDT 2B...
VOR RWY 31L, ORIG-B...
VOR RWY 4R, ORIG-B...
CIRCLING MDA CATS C/D 700/HAA 687. VISIBILITY CAT C 2, CAT D 2 1/4.",KJFK,KZNY/QPIXX/I/NBO/A/000/999/4038N07346W005,KZNY,QPIXX,I,NBO,A,0.0,999.0,4038N07346W005,KJFK,2509292049,2712262048EST,,"JFK JOHN F KENNEDY INTL, NEW YORK, NY.
ILS OR LOC RWY 22L, AMDT 26...
ILS OR LOC RWY 22R, AMDT 4...
ILS OR LOC RWY 31L, AMDT 11B...
ILS OR LOC RWY 31R, AMDT 16B...
ILS OR LOC RWY 4R, AMDT 30B...
RNAV (GPS) RWY 22R, AMDT 1G...
RNAV (GPS) X RWY 22L, ORIG-A...
RNAV (GPS) Y RWY 22L, AMDT 1F...
RNAV (GPS) Y RWY 4L, AMDT 3B...
RNAV (GPS) Y RWY 4R, AMDT 2B...
VOR RWY 31L, ORIG-B...
VOR RWY 4R, ORIG-B...
CIRCLING MDA CATS C/D 700/HAA 687. VISIBILITY CAT C 2, CAT D 2 1/4.",navaid,advisory
KJFK-5-3815,"Q) KZNY/QPIXX/I/NBO/A/000/999/4038N07346W005
A) KJFK
B) 2510211421
C) 2606021421EST
E) JFK JOHN F KENNEDY INTL, NEW YORK, NY.
ILS OR LOC RWY 4L, AMDT 11E...
CHANGE NOTE: AUTOPILOT COUPLED APPROACH NA BELOW 200 FEET MSL TO READ AUTOPILOT COUPLED APPROACH NA BELOW 500 MSL.",KJFK,KZNY/QPIXX/I/NBO/A/000/999/4038N07346W005,KZNY,QPIXX,I,NBO,A,0.0,999.0,4038N07346W005,KJFK,2510211421,2606021421EST,,"JFK JOHN F KENNEDY INTL, NEW YORK, NY.
ILS OR LOC RWY 4L, AMDT 11E...
CHANGE NOTE: AUTOPILOT COUPLED APPROACH NA BELOW 200 FEET MSL TO READ AUTOPILOT COUPLED APPROACH NA BELOW 500 MSL.",navaid,advisory
KJFK-11-346,"11/346 NOTAMN 
Q) KZNY/QMXLC/IV/M/A/000/999/4038N07346W005 
A) KJFK 
B) 2511192100 
C) PERM 

E) TWY KG BTN TWY A AND TWY B CLSDTWY BRSTRCTN>0? TO|",KJFK,KZNY/QMXLC/IV/M/A/000/999/4038N07346W005,KZNY,QMXLC,IV,M,A,0.0,999.0,4038N07346W005,KJFK,2511192100,PERM,,TWY KG BTN TWY A AND TWY B CLSDTWY BRSTRCTN>0? TO|,taxiway,advisory
KJFK-12-053,"12/053 NOTAMN 
Q) KZNY/QMXLC/IV/M/A/000/999/4038N07346W005 
A) KJFK 
B) 2512031620 
C) 2612312300 

E) TWY Z BTN RWY 04L/22R AND TWY Y CLSDTWY YRSTRCTN>0? TO|",KJFK,KZNY/QMXLC/IV/M/A/000/999/4038N07346W005,KZNY,QMXLC,IV,M,A,0.0,999.0,4038N07346W005,KJFK,2512031620,2612312300,,TWY Z BTN RWY 04L/22R AND TWY Y CLSDTWY YRSTRCTN>0? TO|,taxiway,advisory
KJFK-12-054,"12/054 NOTAMN 
Q) KZNY/QXXAS/IV/M/A/000/999/4038N07346W005 
A) KJFK 
B) 2512031625 
C) 2612312300 

E) TWY H CL LGT BTN TWY Y AND TWY Z NOT STD",KJFK,KZNY/QXXAS/IV/M/A/000/999/4038N07346W005,KZNY,QXXAS,IV,M,A,0.0,999.0,4038N07346W005,KJFK,2512031625,2612312300,,TWY H CL LGT BTN TWY Y AND TWY Z NOT STD,taxiway,advisory
KJFK-12-055,"12/055 NOTAMN 
Q) KZNY/QXXAS/IV/M/A/000/999/4038N07346W005 
A) KJFK 
B) 2512031630 
C) 2612312300 

E) TWY A CL LGT BTN TWY M AND TWY MA NOT STD",KJFK,KZNY/QXXAS/IV/M/A/000/999/4038N07346W005,KZNY,QXXAS,IV,M,A,0.0,999.0,4038N07346W005,KJFK,2512031630,2612312300,,TWY A CL LGT BTN TWY M AND TWY MA NOT STD,taxiway,advisory
KJFK-12-171,"12/171 NOTAMN 
Q) KZNY/QMXLC/IV/M/A/000/999/4038N07346W005 
A) KJFK 
B) 2512101944 
C) PERM 

E) TWY PB BTN HANGAR 12 RAMP AND TWY Q CLSDTWY QRSTRCTN>0? TO|",KJFK,KZNY/QMXLC/IV/M/A/000/999/4038N07346W005,KZNY,QMXLC,IV,M,A,0.0,999.0,4038N07346W005,KJFK,2512101944,PERM,,TWY PB BTN HANGAR 12 RAMP AND TWY Q CLSDTWY QRSTRCTN>0? TO|,taxiway,advisory
KJFK-01-233,"01/233 NOTAMN 
Q) KZNY/QMXLC/IV/M/A/000/999/4038N07346W005 
A) KJFK 
B) 2601081536 
C) 2612312300 

E) TWY TB BTN TERMINAL 8 RAMP AND TWY A CLSDTWY ARSTRCTN>0? TO|",KJFK,KZNY/QMXLC/IV/M/A/000/999/4038N07346W005,KZNY,QMXLC,IV,M,A,0.0,999.0,4038N07346W005,KJFK,2601081536,2612312300,,TWY TB BTN TERMINAL 8 RAMP AND TWY A CLSDTWY ARSTRCTN>0? TO|,taxiway,advisory
